State_ID,Visit_Count
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3247.267, 0.0, 0.0, 0.0, 2455.856)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3478.45, 0.0, 0.0, 0.0, 2455.856)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3387.61, 0.0, 0.0, 1.0, 2455.856)",10
"(0.0, 1.0, 0.0, 0.0, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 2069.129, 0.0, 0.0, -1.0, 2455.856)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.333, 0.333, 0.0, 0.333, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 850.207, 0.0, 0.0, 0.0, 2455.856)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.333, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 926.724, 0.0, 0.0, 0.0, 2455.856)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 1802.539, 0.0, 0.0, 0.0, 2455.856)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 2951.634, 0.0, 0.0, 0.0, 2455.856)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2402.195, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2363.876, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2500.807, 0.0, 0.0, 0.0, 2627.925)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.667, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2259.704, 0.0, 0.0, 1.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2214.513, 0.0, 0.0, -1.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2349.585, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2623.408, 0.0, 0.0, 0.0, 2627.925)",10
